symbol,name,q2_rev,q2_margin,q2_eps,capital,q3_rev_total,target_eps,naive_pred_eps
1795,美時,4742928.0,0.28074851652818683,5.09,2655183.0,5234204.0,5.98,5.534439653334259
2913,農林,98946.0,-0.5280860267216462,-0.06,7900000.0,116621.0,-0.05,-0.07795686142063936
3054,立萬利,23282.0,0.14229877158319731,0.04,834110.0,23534.0,-0.29,0.04014889271725511
1503,士電,8171357.0,0.0903200043762621,1.36,5209722.0,8057144.0,1.34,1.3968524257919595
2832,台產,1814658.0,0.16216168556278923,0.81,3622004.0,1935616.0,0.81,0.8665996866991417
9912,偉聯,128590.0,-0.08124270938642196,-0.12,546566.0,132878.0,-0.2,-0.19751262862763103
2883,凱基金,,,0.49,183908413.0,24582014.0,0.73,
8443,阿瘦,243132.0,-0.10203922149285162,-0.37,668000.0,269094.0,-0.39,-0.41105003395804507
1477,聚陽,7694161.0,0.11528638405149047,3.55,2466937.0,10464894.0,4.58,4.8905172233508125
6906,現觀科,67063.0,0.09884735248945022,0.2,335374.0,103597.0,0.93,0.30533938754493706
1608,華榮,3158723.0,0.07755602501390593,0.5,6327735.0,2874460.0,0.2,0.3523088303499942
3312,弘憶股,4543950.0,0.02509292575842604,0.74,1626254.0,4750246.0,0.3,0.7329578910321528
3715,定穎投控,4228126.0,0.08280311419290722,1.22,2776746.0,4749779.0,0.93,1.4163934797351745
9942,茂順,987425.0,0.16850900068359623,2.0,831613.0,973281.0,2.05,1.9721506120555021
3532,台勝科,3225016.0,0.10746551334939114,0.9,3878483.0,3050105.0,0.45,0.8451270757008467
