symbol,name,q2_rev,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_yoy_m7,target_eps
5880,合庫金,,5378780.0,5433338.0,4258318.0,2021,0.39,0.0,0.32,-0.0364537755664133,0.44
8072,陞泰,360802.0,127034.0,112540.0,114882.0,2021,0.04,0.0234006463378806,0.13,0.1320791708625559,0.2
2838,聯邦銀,,1450805.0,1518081.0,1253448.0,2021,0.42,0.0,0.35,-0.0409530413675164,0.21
2316,楠梓電,1253570.0,455620.0,459693.0,549586.0,2021,0.6,0.0874287036224542,0.6,-0.0116359786890651,0.96
3413,京鼎,3006062.0,1005223.0,1079572.0,1096825.0,2021,4.58,0.135869785786188,4.03,0.0322779734049709,4.88
9918,欣天然,426371.0,104273.0,122779.0,117913.0,2021,0.47,0.1965354116485408,0.27,-0.0655871388630009,0.06
1760,寶齡富錦,533209.0,170936.0,217592.0,140839.0,2021,0.97,0.1393956216042865,-0.04,0.6601208165802304,0.77
2820,華票,,275963.0,218850.0,204315.0,2021,0.34,0.0,0.34,0.0780099455844496,0.34
3518,柏騰,216778.0,61397.0,56438.0,51307.0,2021,0.15,0.055706759911061,-0.05,-0.0217488289092125,0.02
6706,惠特,1380644.0,502284.0,503188.0,506957.0,2021,2.57,0.1343785943371354,1.17,1.4660326687319878,4.49
8215,明基材,4283121.0,1354490.0,1381183.0,1311182.0,2021,0.86,0.0641845047104669,0.36,0.0832003147661806,0.83
1475,業旺,38439.0,34187.0,37495.0,63250.0,2021,-0.1,-0.0158432841645204,0.02,2.6291932059447984,1.21
